px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.34521	-5.39886	-2.67022	-2.64853	-0.123857	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.307787
9.43103	-5.29855	-2.57496	-2.59958	-0.0423117	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.5915
9.55564	-5.2028	-2.59806	-2.58937	-0.0304	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.294886
9.65194	-5.10988	-2.53848	-2.55443	0.0250665	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	3.37709
9.7696	-5.00795	-2.56174	-2.53924	0.0380203	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.349004
9.86068	-4.90608	-2.51067	-2.49866	0.0943642	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.01521
9.97096	-4.80368	-2.52794	-2.48248	0.104539	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.221207
10.0497	-4.68937	-2.47869	-2.43073	0.169042	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.55795
10.1553	-4.56321	-2.51722	-2.40156	0.187327	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.746515
10.2388	-4.44572	-2.499	-2.35962	0.229866	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.51809
10.3458	-4.30112	-2.55886	-2.32451	0.250292	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	1.15528
10.4667	-4.20688	-2.59799	-2.33897	0.209039	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.61249
10.5654	-4.06441	-2.64035	-2.30711	0.227285	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.861876
10.6635	-3.94985	-2.64859	-2.29123	0.230966	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.109142
10.7614	-3.81699	-2.67742	-2.26811	0.240268	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.267567
10.8109	-3.67432	-2.6262	-2.19349	0.328046	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.60833
